slug,name,notes
franconia-village-xc-area,Franconia Village XC Ski Area,nordic/XC center
garnet-hill-xc,Garnet Hill XC,nordic/XC center
gore-mountain,Gore Mountain,no pct breakdown in wiki
granby-ranch,Granby Ranch,no public breakdown found
granite-peak,Granite Peak Ski Area,no pct breakdown in wiki
great-bear,Great Bear Recreation Park,no public breakdown
great-bear-valley,Great Bear Ski Valley,no public breakdown
great-divide,Great Divide,no public breakdown found
great-glen-trails-outdoor-center,Great Glen Trails Outdoor Center,nordic/XC center
haymaker-nordic-center,Haymaker Nordic Center,nordic/XC center
hermon-mountain,Hermon Mountain,no public breakdown
hesperus-ski-area,Hesperus Ski Area,no public breakdown
hidden-valley,Hidden Valley (PA),vail-owned; no pct breakdown in wiki
hidden-valley-mo,Hidden Valley Ski Resort (MO),vail-owned; no public breakdown found
high-point-xc-center,High Point XC Ski Center,nordic/XC center
hoedown-hill,Hoedown Hill,no public breakdown
hogadon,Hogadon Basin Ski Area,no public breakdown found
holiday-mountain,Holiday Mountain,no public breakdown
holimont,HoliMont,no public breakdown found
homestake-lodge,Homestake Lodge,no website provided
howelsen-hill,Howelsen Hill Ski Area,no pct breakdown in wiki
huff-hills,Huff Hills Ski Area,no pct breakdown in wiki
hunt-hollow-club,Hunt Hollow Ski Club,private club no public breakdown
hurricane-ridge,Hurricane Ridge Ski and Snowboard Area,no public breakdown
jack-frost-mountain,Jack Frost Mountain,vail-owned; no public breakdown found
jackson-xc,Jackson XC,nordic/XC center
jay-peak,Jay Peak,no public breakdown
kelly-canyon,Kelly Canyon Ski Resort,no public breakdown
kissing-bridge,Kissing Bridge,no public breakdown
labrador-mountain,Labrador Mountain,no public breakdown
lake-city-ski-hill,Lake City Ski Hill,no public breakdown
leavenworth-ski-hill,Leavenworth Ski Hill,no public breakdown
leavenworth-winter-sports-club,Leavenworth Winter Sports Club,no public breakdown
lees-ski-hill,Lee's Ski Hill,no public breakdown
little-ski-hill,Little Ski Hill,no public breakdown
little-switzerland,Little Switzerland,no public breakdown
loge-glacier,LOGE Glacier,not a ski resort - lodging
lost-valley,Lost Valley,no public breakdown
loup-loup,Loup Loup Ski Bowl,no public breakdown
lyndon-outing-club,Lyndon Outing Club,no public breakdown
mad-river-mountain,Mad River Mountain,vail-owned; no public breakdown
magic-mountain-id,Magic Mountain Resort,no public breakdown
maple-ski-ridge,Maple Ski Ridge,no public breakdown
maplelag,Maplelag Resort,nordic ski resort - no alpine trails
massanutten-resort,Massanutten Resort,no public breakdown
maverick-mountain,Maverick Mountain Ski Area,no public breakdown
mccauley-mountain,McCauley Mountain,no public breakdown
mcintyre-ski-area,McIntyre Ski Area,no public breakdown
meadowlark,Meadowlark Ski Lodge,no public breakdown
middlebury-snow-bowl,Middlebury Snow Bowl,no public breakdown
minocqua-winter-park,Minocqua Winter Park,nordic ski - no alpine breakdown
mission-ridge,Mission Ridge Ski & Board Resort,fetch error
mohawk,Mohawk Mountain,no public breakdown
mohawk-mountain-ski-area,Mohawk Mountain Ski Area,no public breakdown
montana-snowbowl,Montana Snowbowl,no public breakdown
moose,Moose Mountain,no public breakdown
mount-itasca,Mount Itasca,no public breakdown
mount-jefferson-ski-area,Mount Jefferson Ski Area,no public breakdown
mount-kato,Mount Kato,no public breakdown
mount-la-crosse,Mount La Crosse,no public breakdown
mount-peter,Mount Peter,no public breakdown
mt-eyak,Mt Eyak,no public breakdown
mt-la-crosse,Mt La Crosse,no public breakdown
mount-ashwabay,Mt. Ashwabay,no public breakdown
mt-crescent,Mt. Crescent Ski Area,no public breakdown
mt-eyak-ski-area,Mt. Eyak Ski Area,no public breakdown
mt-holiday,Mt. Holiday,no public breakdown
mount-holly,Mt. Holly,no public breakdown
mt-lemmon-ski-valley,Mt. Lemmon Ski Valley,no public breakdown
mystic-mountain,Mystic Mountain,no public breakdown
nordic-mountain,Nordic Mountain,no public breakdown
north-cascade-heli,North Cascade Heli,heli-ski operator - no trails
northeast-slopes,Northeast Slopes,no public breakdown
northern-maine-community-trails,Northern Maine Community Trails,nordic trails - no alpine
norway-mountain,Norway Mountain,no public breakdown
nubs-nob,Nub's Nob,no pct breakdown in wiki
oak-mountain,Oak Mountain,no public breakdown
oglebay-resort,Oglebay Resort,no public breakdown
otis-ridge,Otis Ridge,no public breakdown
paul-bunyan-hill,Paul Bunyan Ski Hill,no data available
pine-mountain,Pine Mountain Resort,fetch error no data
plain-valley-trails,Plain Valley Ski Trails,nordic-only no data
shawnee-peak,Pleasant Mountain,no pct breakdown available
porcupine-mountains,Porcupine Mountains Ski Area,no data available
powder-ridge,Powder Ridge Winter Recreation Area,fetch error MN resort no data
powderhouse-hill,Powderhouse Hill,no data available
quarry-road-trails,Quarry Road Trails,nordic-only no data
quechee-club,Quechee Club,no data available
rangeley-lakes-trail-center,Rangeley Lakes Trail Center,nordic-only no website
red-river-ski-area,Red River Ski & Summer Area,fetch error
rikert-nordic-center,Rikert Nordic Center,nordic-only
rikert-outdoor-center,Rikert Outdoor Center,nordic-only duplicate
rotarun,Rotarun Ski Area,no data available
royal-mountain,Royal Mountain,no data available
sapphire-valley-resort,Sapphire Valley Resort,no wiki article
schuss-shanty-creek,Schuss Mountain at Shanty Creek,no data available
seven-oaks,Seven Oaks Recreation,no data available
shanty-creek,Shanty Creek Resorts,no data available
showdown,Showdown Montana,no pct or terrain park data
skaneateles-club,Skaneateles Ski Club,no data available
ski-gull,Ski Gull,no data available
ski-sawmill,Ski Sawmill,fetch error
sleeping-giant,Sleeping Giant Ski Area,fetch error
sleepy-hollow,Sleepy Hollow Sports Park,no data available
snow-creek,Snow Creek,vail-owned no wiki page found
snow-ridge,Snow Ridge,fetch error
snow-snake,Snow Snake Mountain,fetch error
snowstar,Snowstar Winter Park,no data available
snowy-range,Snowy Range Ski Area,no pct data
soldier-hollow,Soldier Hollow,nordic-only
song-mountain,Song Mountain,no data available
spirit-mountain,Spirit Mountain,fetch error
spring-mountain,Spring Mountain,no data available
spruce-mountain-ski-area,Spruce Mountain Ski Area,no data available
steamboat-touring-center,Steamboat Ski Touring Center,nordic-only
summit-ski-area,Summit Ski Area,no data available
sunburst,Sunburst,no wiki/site data
sunburst-area,Sunburst Ski Area,no wiki/site data; likely dup of sunburst
sundown-mountain,Sundown Mountain,no wiki data
swain-resort,Swain Resort,no wiki data
swiss-valley,Swiss Valley Ski & Snowboard Area,no wiki data
tenney-mountain,Tenney Mountain,no wiki/site data; site domain expired
teton-pass,Teton Pass Ski Area,no wiki/site data
highlands,The Highlands,no wiki/site data
the-highlands,The Highlands (Boyne Highlands),no wiki data
homestead-resort,The Homestead,no wiki data
loppet,The Loppet,
the-omni-homestead-resort,The Omni Homestead Resort,small resort hotel ski area; no data
the-rock-snowpark,The Rock Snowpark,no wiki data
thrill-hills,Thrill Hills,no wiki/site data
titcomb-mountain,Titcomb Mountain,no wiki/site data
trapp-family-lodge,Trapp Family Lodge,
treetops-resort,Treetops Resort,no wiki ski data
turner-mountain,Turner Mountain Ski Resort,no wiki data
turpin-meadow-ranch,Turpin Meadow Ranch,
tussey-mountain,Tussey Mountain,no wiki ski data
victor-constant-ski-area,Victor Constant Ski Area,no wiki data
villa-olivia,Villa Olivia,no wiki data
warner-canyon,Warner Canyon Ski Area,no wiki data
west-mountain,West Mountain,no wiki/site data with pct
whaleback-mountain,Whaleback Mountain,no wiki data
white-grass-touring,White Grass Ski Touring,
white-pass,White Pass Ski Area,no wiki ski data
white-pine,White Pine Ski Resort,no wiki data
white-pine-touring-nordic-center,White Pine Touring Nordic Center,
whitecap-mountains,Whitecap Mountains,no wiki pct data
whitetail-resort,Whitetail Resort,no wiki/site data; vail-owned
woods-valley,Woods Valley,no wiki data
woodstock-nordic-center,Woodstock Nordic Center,
woodward-park-city,Woodward Park City,no wiki data; primarily terrain park resort
yellowstone-club,Yellowstone Club,no wiki pct data; private club
