slug,website_url,notes
"spout-springs","https://spoutspringsskiarea.com","Domain hijacked — page now serves unrelated Turkish casino content. Ski area closed."
"spruce-mountain-ski-area","https://www.sprucemountain.org","ECONNREFUSED — domain not responding."
"stevens-pass","https://www.stevenspass.com","All fetched pages return Vail Resorts system error: 'The system cannot process your request'."
"stowe-mountain-resort","https://www.stowe.com","All fetched pages return Vail Resorts system error: 'The system cannot process your request'."
"tenney-mountain","https://www.tenneymtn.com","Domain shows expired notice (resort closed/inactive)."
"teton-pass","https://www.skitetonmt.com/","ECONNREFUSED - site appears down/offline."
"the-highlands","https://www.highlandsatharborsprings.com","403 Forbidden on homepage; subpage ECONNREFUSED. May be blocking automated fetches."
"the-rock-snowpark","https://www.therocksnowpark.com","ECONNREFUSED - site unreachable."
"timber-ridge","https://www.skitimberridge.com","ECONNREFUSED. Kept input difficulty values."
"white-pine-touring-nordic-center","","No website_url in input. Skipped."
"whitetail-resort","https://www.skiwhitetail.com","skiwhitetail.com returns reservations.snow.com system error page; site appears broken (Vail Resorts shared platform outage)."
"wildcat-mountain","https://www.skiwildcat.com","skiwildcat.com returns reservations.snow.com system error page (Vail Resorts shared platform outage)."
"wilmot-mountain","https://www.wilmotmountain.com","wilmotmountain.com returns reservations.snow.com system error page (Vail Resorts shared platform outage)."
"woodstock-nordic-center","","No website_url in input. Skipped."
